stock,model,feature_set,test_days,train_size,test_size,rmse,mae,directional_accuracy,naive_rmse,naive_mae,beat_naive
SPY,Linear Regression,Tech+Sent,30,1324,30,5.346182756304562,4.370020944309673,34.48275862068966,5.250907050274685,4.188621784078664,False
SPY,Linear Regression,Tech+Sent,60,1294,60,4.9532632686424165,3.906122570404377,45.76271186440678,4.903978614878506,3.8253494521318854,False
SPY,Linear Regression,Tech+Sent,90,1264,90,5.111001290441803,3.9474817168510348,47.19101123595505,5.060955904135407,3.947240936622191,False
SPY,Random Forest,Tech-Only,30,1324,30,5.43975969985146,4.516051359805439,41.37931034482759,5.250907050274685,4.188621784078664,False
SPY,Random Forest,Tech-Only,60,1294,60,11.821208624419434,10.495736098234001,45.76271186440678,4.903978614878506,3.8253494521318854,False
SPY,Random Forest,Tech-Only,90,1264,90,9.76636977886112,8.28661261231764,50.56179775280899,5.060955904135407,3.947240936622191,False
SPY,Random Forest,Tech+Sent,30,1324,30,5.521163940450052,4.595643696457,37.93103448275862,5.250907050274685,4.188621784078664,False
SPY,Random Forest,Tech+Sent,60,1294,60,12.082585567372567,10.762415544606792,47.45762711864407,4.903978614878506,3.8253494521318854,False
SPY,Random Forest,Tech+Sent,90,1264,90,10.233660636611974,8.788588697806883,51.68539325842697,5.060955904135407,3.947240936622191,False
SPY,XGBoost,Tech-Only,30,1324,30,4.8392832004751405,3.85091552734375,48.275862068965516,5.250907050274685,4.188621784078664,True
SPY,XGBoost,Tech-Only,60,1294,60,13.516864601146617,12.019884236653645,45.76271186440678,4.903978614878506,3.8253494521318854,False
SPY,XGBoost,Tech-Only,90,1264,90,11.12006161079013,9.671737331814237,53.93258426966292,5.060955904135407,3.947240936622191,False
SPY,XGBoost,Tech+Sent,30,1324,30,4.8392832004751405,3.85091552734375,48.275862068965516,5.250907050274685,4.188621784078664,True
SPY,XGBoost,Tech+Sent,60,1294,60,13.516864601146617,12.019884236653645,45.76271186440678,4.903978614878506,3.8253494521318854,False
SPY,XGBoost,Tech+Sent,90,1264,90,11.12006161079013,9.671737331814237,53.93258426966292,5.060955904135407,3.947240936622191,False
QQQ,Linear Regression,Tech-Only,30,1324,30,6.856942925352226,5.751542649199795,37.93103448275862,6.679833692980514,5.609657024515086,False
QQQ,Linear Regression,Tech-Only,60,1294,60,6.174930488652545,4.905386996472475,49.152542372881356,6.153914636353736,4.968260684255826,False
QQQ,Linear Regression,Tech-Only,90,1264,90,6.518799198209203,5.0089866053430345,43.82022471910113,6.419974693672703,5.054555142863413,False
QQQ,Linear Regression,Tech+Sent,30,1324,30,6.856942925352226,5.751542649199795,37.93103448275862,6.679833692980514,5.609657024515086,False
QQQ,Linear Regression,Tech+Sent,60,1294,60,6.17493048865253,4.905386996472472,49.152542372881356,6.153914636353736,4.968260684255826,False
QQQ,Linear Regression,Tech+Sent,90,1264,90,6.518799198209203,5.0089866053430345,43.82022471910113,6.419974693672703,5.054555142863413,False
QQQ,Random Forest,Tech-Only,30,1324,30,7.973640366077557,6.601165850034272,34.48275862068966,6.679833692980514,5.609657024515086,False
QQQ,Random Forest,Tech-Only,60,1294,60,7.7802263354052945,6.6875091107891445,49.152542372881356,6.153914636353736,4.968260684255826,False
QQQ,Random Forest,Tech-Only,90,1264,90,9.478214624113194,7.218934501704472,55.0561797752809,6.419974693672703,5.054555142863413,False
QQQ,Random Forest,Tech+Sent,30,1324,30,7.780025857527543,6.4613171013637425,37.93103448275862,6.679833692980514,5.609657024515086,False
QQQ,Random Forest,Tech+Sent,60,1294,60,7.9615558392446655,6.839574175494321,49.152542372881356,6.153914636353736,4.968260684255826,False
QQQ,Random Forest,Tech+Sent,90,1264,90,9.751139969499068,7.425474728054476,49.43820224719101,6.419974693672703,5.054555142863413,False
QQQ,XGBoost,Tech-Only,30,1324,30,9.210172464213972,7.707102457682292,27.586206896551722,6.679833692980514,5.609657024515086,False
QQQ,XGBoost,Tech-Only,60,1294,60,7.595855552019044,6.138206990559896,35.59322033898305,6.153914636353736,4.968260684255826,False
QQQ,XGBoost,Tech-Only,90,1264,90,11.450254135918824,9.646741400824652,51.68539325842697,6.419974693672703,5.054555142863413,False
QQQ,XGBoost,Tech+Sent,30,1324,30,9.210172464213972,7.707102457682292,27.586206896551722,6.679833692980514,5.609657024515086,False
QQQ,XGBoost,Tech+Sent,60,1294,60,7.595855552019044,6.138206990559896,35.59322033898305,6.153914636353736,4.968260684255826,False
QQQ,XGBoost,Tech+Sent,90,1264,90,11.450254135918824,9.646741400824652,51.68539325842697,6.419974693672703,5.054555142863413,False
